ward,count,Size
1,9,13.5117941386705
2,46,25.5615164520744
3,25,27.7862759113653
4,14,20.7012151536812
5,23,10.8578792341679
6,41,40.325232308792
7,19,25.6997855611151
8,4,4.67208271787297
9,24,33.8820586132952
10,16,21.4917798427448
11,11,9.6397426733381
14,19,29.5518227305218
15,19,22.9292351679771
16,1,3.24553224553225
17,20,17.2180128663331
18,32,43.5239456754825
20,9.5,12.9524660471766
21,7,7.26166547020818
22,13,14.4456754824875
23,23,19.5594472242078
24,9,7.0763640695735
25,19.5,20.6270192994996
26,14,20.9066595187038
27,22,22.4195854181558
28,25,32.1951393852752
29,17,31.1243745532523
30,15,16.2108649035025
31,8,32.1790830945559
32,22,31.3202287348106
33,14,18.2837741243746
34,26,31.9313795568263
35,22,33.5218012866333
36,26,26.9135096497498
37,13,27.0135811293781
38,10,16.7784131522516
39,9,21.0986418870622
40,14,25.2573266619014
41,5,6.01790830945559
42,15,23.4253037884203
43,23,29.4974982130093
44,17,24.1343817012152
45,20,19.3566833452466
47,21,24.7885997521685
48,26,28.3421372408863
49,13.5,17.1903145103645
50,12.25,15.6679771265189
51,20,17.569871336669
52,22.5,24.8086132952109
53,18.5,17.2188110555158
54,7,11.1479628305933
55,2,5.46529933481153
56,23.5,26.6654384672071
57,8,12.8936894474993
58,12,26.090886347391
59,12,10.0932809149392
60,17,22.9225637360019
61,2,12.1117094017094
62,12,13.8909340004765
63,5,8.23149492017417
64,1,8.24366312346688
65,3,17.0777537796976
66,30,30.6111508220157
67,19,28.9478198713367
68,8,10.2015725518227
69,3,3.81254506128335
70,9,14.0850607576841
71,26,29.6933523945675
72,26.5,21.4225669583665
73,5,4.44664744051911
74,6,6.54681865018032
75,32.25,21.8821777460091
76,8,9.15350250178699
77,20.5,24.6534429354301
78,6,5.82118179652132
79,11,9.20657612580415
80,1,6.09248554913295
81,19,29.4503216583274
82,3,4.20030127741624
83,7,10.4354896354539
84,13.5,11.017357636407
85,5,8.17363593042649
86,1,2.4030903090309
87,8.5,11.6272933047415
89,4,7.60876816773886
91,13,11.0303468208092
92,6,4.87249814677539
93,1.5,8.45534905885156
94,2,7.90630372492837
95,17,13.6325947105075
97,0.5,1.52588268001112
98,2,2.05527210884354
99,7,8.31796521324756
100,6.75,3.87453436095055
101,2.5,1.55404463040446
103,11,13.8892065761258
104,1,3.05268310369833
105,3,5.9943407960199
106,7,4.6181664247702
107,5,3.84766252739226
110,2,3.05360326894502
111,0.5,1.6242962962963
112,5,4.29489051094891
115,8,9.45532523230879
116,9,9.54967834167262
117,9,8.87562544674768
118,15,16.7190850607577
119,18,19.3716940671909
120,8,7.65910753474762
121,8,9.95922746781116
122,6,7.73657838224767
124,5,13.786327845383
128,15,8.00913242009132
129,4,5.24275646045419
130,1,4.69830729166667
132,2,4.66894609814964
134,12,7.62786885245902
136,6,4.72274837511606
148,4,2.24876811594203
160,0.25,1.26869779802582
175,0.5,0.718544600938967
185,1,1.36914600550964
199,5,3.49590277777778
201,11.5,10.0580442804428
207,4,6.32249496475327
215,1,2.19287158746208
216,1,1.85531135531136
220,18.5,21.4686770428016
232,5,8.61432676518883
258,1,1.24852071005917
260,0.5,1.10113268608414
262,3,3.68810916179337
263,8,6.60058027079304
264,1,2.78497409326425
274,5.5,5.44082479258175
