ward,count,Size
1,8,13.5117941386705
2,22,25.5615164520744
3,24,27.7862759113653
4,31,20.7012151536812
5,7,10.8578792341679
6,36,40.325232308792
7,21,25.6997855611151
8,2,4.67208271787297
9,30,33.8820586132952
10,18,21.4917798427448
11,12,9.6397426733381
13,2,2.71262458471761
14,19,29.5518227305218
15,24,22.9292351679771
16,2,3.24553224553225
17,29,17.2180128663331
18,53,43.5239456754825
20,11,12.9524660471766
21,2,7.26166547020818
22,9,14.4456754824875
23,13.5,19.5594472242078
24,6,7.0763640695735
25,17,20.6270192994996
26,19,20.9066595187038
27,23,22.4195854181558
28,33,32.1951393852752
29,28,31.1243745532523
30,15,16.2108649035025
31,10,32.1790830945559
32,27,31.3202287348106
33,20,18.2837741243746
34,36,31.9313795568263
35,32,33.5218012866333
36,30,26.9135096497498
37,24,27.0135811293781
38,26,16.7784131522516
39,25,21.0986418870622
40,24,25.2573266619014
41,2,6.01790830945559
42,16,23.4253037884203
43,27,29.4974982130093
44,24,24.1343817012152
45,16,19.3566833452466
46,2,1.53580901856764
47,27,24.7885997521685
48,31,28.3421372408863
49,14,17.1903145103645
50,12.5,15.6679771265189
51,16,17.569871336669
52,25.5,24.8086132952109
53,20,17.2188110555158
54,11,11.1479628305933
55,5,5.46529933481153
56,25.5,26.6654384672071
57,9,12.8936894474993
58,26,26.090886347391
59,11,10.0932809149392
60,28.5,22.9225637360019
61,2,12.1117094017094
62,5,13.8909340004765
63,3,8.23149492017417
64,1,8.24366312346688
65,7,17.0777537796976
66,28,30.6111508220157
67,17,28.9478198713367
68,9,10.2015725518227
69,3,3.81254506128335
70,14,14.0850607576841
71,30,29.6933523945675
72,20,21.4225669583665
73,2,4.44664744051911
74,4.5,6.54681865018032
75,21,21.8821777460091
76,7,9.15350250178699
77,20,24.6534429354301
78,7.5,5.82118179652132
79,10,9.20657612580415
80,3,6.09248554913295
81,22,29.4503216583274
82,1,4.20030127741624
83,9,10.4354896354539
84,13.5,11.017357636407
85,12,8.17363593042649
87,16,11.6272933047415
89,4,7.60876816773886
91,11,11.0303468208092
92,4,4.87249814677539
93,5,8.45534905885156
94,2,7.90630372492837
95,9,13.6325947105075
96,0.5,0.727816695855225
97,3,1.52588268001112
98,2,2.05527210884354
99,11,8.31796521324756
100,0.333333333333333,3.87453436095055
103,10,13.8892065761258
104,3.83333333333333,3.05268310369833
105,7,5.9943407960199
106,3,4.6181664247702
107,1,3.84766252739226
110,2,3.05360326894502
111,1,1.6242962962963
112,10,4.29489051094891
114,2,3.13107511045655
115,11,9.45532523230879
116,9,9.54967834167262
117,9,8.87562544674768
118,15,16.7190850607577
119,16,19.3716940671909
120,5,7.65910753474762
121,3,9.95922746781116
122,14,7.73657838224767
123,1,6.19874100719424
124,8.5,13.786327845383
128,6,8.00913242009132
132,1,4.66894609814964
133,1,2.09366818873668
134,9,7.62786885245902
136,1,4.72274837511606
138,0.5,1.38425506195225
147,1.5,1.41650380021715
148,4,2.24876811594203
151,2,1.45569620253165
164,1,0.842682926829268
201,11.3333333333333,10.0580442804428
207,14,6.32249496475327
215,1,2.19287158746208
216,1,1.85531135531136
220,20.5,21.4686770428016
232,9,8.61432676518883
234,1.5,1.40861062463514
262,2,3.68810916179337
263,3,6.60058027079304
266,3,2.09109311740891
268,1.5,1.89975845410628
