ward,count,Size
1,3,13.5117941386705
2,15,25.5615164520744
3,27,27.7862759113653
4,21,20.7012151536812
5,4,10.8578792341679
6,46,40.325232308792
7,24,25.6997855611151
9,33,33.8820586132952
10,22,21.4917798427448
11,9,9.6397426733381
12,13,9.88666666666667
14,26,29.5518227305218
15,24,22.9292351679771
16,5,3.24553224553225
17,9,17.2180128663331
18,33,43.5239456754825
20,15,12.9524660471766
21,5.5,7.26166547020818
22,16,14.4456754824875
23,24,19.5594472242078
24,7,7.0763640695735
25,19,20.6270192994996
26,20,20.9066595187038
27,25,22.4195854181558
28,30,32.1951393852752
29,31,31.1243745532523
30,16,16.2108649035025
31,4,32.1790830945559
32,32,31.3202287348106
33,13,18.2837741243746
34,32,31.9313795568263
35,31,33.5218012866333
36,31,26.9135096497498
37,20,27.0135811293781
38,19,16.7784131522516
39,28,21.0986418870622
40,28,25.2573266619014
41,6,6.01790830945559
42,26,23.4253037884203
43,32,29.4974982130093
44,24,24.1343817012152
45,27,19.3566833452466
47,29,24.7885997521685
48,26.5,28.3421372408863
49,15.5,17.1903145103645
50,16,15.6679771265189
51,21,17.569871336669
52,26,24.8086132952109
53,19,17.2188110555158
54,15,11.1479628305933
55,4,5.46529933481153
56,28.5,26.6654384672071
57,15,12.8936894474993
58,24,26.090886347391
59,10,10.0932809149392
60,21,22.9225637360019
61,3,12.1117094017094
62,20,13.8909340004765
63,9,8.23149492017417
65,8,17.0777537796976
66,29,30.6111508220157
67,17,28.9478198713367
68,10,10.2015725518227
69,4,3.81254506128335
70,18,14.0850607576841
71,30,29.6933523945675
72,8,21.4225669583665
73,4,4.44664744051911
75,23,21.8821777460091
76,13,9.15350250178699
77,25,24.6534429354301
78,3.5,5.82118179652132
79,13,9.20657612580415
80,7,6.09248554913295
81,27,29.4503216583274
82,2.83333333333333,4.20030127741624
83,7.5,10.4354896354539
84,6.33333333333333,11.017357636407
85,6,8.17363593042649
87,15.5,11.6272933047415
88,1.5,1.07724301841949
89,8,7.60876816773886
91,9,11.0303468208092
92,6,4.87249814677539
93,6.83333333333333,8.45534905885156
94,12,7.90630372492837
95,15,13.6325947105075
97,1,1.52588268001112
99,11,8.31796521324756
100,2,3.87453436095055
101,1.5,1.55404463040446
102,0.5,0.668683274021352
103,15,13.8892065761258
104,1.5,3.05268310369833
105,9.33333333333333,5.9943407960199
106,5.5,4.6181664247702
107,2,3.84766252739226
109,1,2.26191389599318
110,2,3.05360326894502
111,0.833333333333333,1.6242962962963
112,6,4.29489051094891
113,4,2.00614316239316
114,2,3.13107511045655
115,10,9.45532523230879
116,11,9.54967834167262
117,11,8.87562544674768
118,20,16.7190850607577
119,20,19.3716940671909
120,4,7.65910753474762
121,10,9.95922746781116
122,8,7.73657838224767
124,8,13.786327845383
126,0.5,0.718864468864469
128,1,8.00913242009132
132,1,4.66894609814964
136,3,4.72274837511606
138,1,1.38425506195225
141,1,1.19653179190751
146,1,1.39522673031026
175,0.333333333333333,0.718544600938967
198,2,2.45313986679353
199,2,3.49590277777778
201,4,10.0580442804428
207,8,6.32249496475327
215,2,2.19287158746208
220,25,21.4686770428016
232,13,8.61432676518883
